Cieszę się każdym oddechem"," który odpręża mój umysł i ciało.
Jestem spokojny i skoncentrowany na teraźniejszości.
Wydzielam stres i napinanie z mojego ciała.
Moje myśli są spokojne i klarowne.
Zasługuję na chwilę spokoju i relaksu.
Potrafię radzić sobie z wyzwaniami"," które napotykam.
Mój umysł jest pełen spokoju i harmonii.
Jestem wdzięczny za wszystkie dobre rzeczy w moim życiu.
Mój oddech jest głęboki i uspokajający.
Odpuszczam kontrolę i zaufam procesowi życia.
Wokół mnie panuje spokój i harmonia.
Jestem silny i elastyczny"," jak bambus w wietrze.
Wszystko"," czego potrzebuję"," mam już w sobie.
Wybieram spokój i zrównoważenie.
Przyjmuję sytuacje z życia z pokorą i spokojem.
Dbam o siebie"," zarówno fizycznie"," jak i emocjonalnie.
Mój umysł jest wolny od niepotrzebnych obaw.
Staram się znaleźć równowagę między pracą a odpoczynkiem.
Wszystko"," co robię"," robię z pełnym zaangażowaniem"," ale bez nadmiernego stresu.
Uwolnienie stresu to proces"," który przechodzę z łatwością.
Każdy oddech przynosi mi spokój i ulgę.
Uwolnienie stresu pozwala mi na większą kreatywność i skupienie.
Jestem w pełni obecny w każdej chwili"," co zmniejsza moje odczucie stresu.
Dziękuję swojemu ciału za siłę i zdolność do relaksacji.
Wybieram pozytywne myśli i odczucia"," które redukują stres.
Uczę się"," jak dbać o swoje emocje i potrzeby.
Moje ciało jest zrelaksowane"," a mój umysł jest spokojny.
Pozwalam sobie na chwilę spokoju i refleksji.
Każdy dzień jest nową możliwością do zmniejszenia stresu.
Jakoś sobie poradzę"," niezależnie od tego"," co się dzieje.
Zmniejszam stres"," angażując się w aktywności"," które mnie relaksują.
Wybieram dobre samopoczucie i spokój zamiast stresu.
Oddalam negatywne myśli i skupiam się na pozytywnych aspektach życia.
Moje ciało jest napełnione spokojem i energią.
Uwolnienie stresu pozwala mi na pełniejsze doświadczanie życia.
Potrafię powiedzieć nie sytuacjom"," które mnie przytłaczają.
Każdy oddech wypełnia mnie spokojem i optymizmem.
Moje myśli są pełne pokoju i optymizmu.
Warto dbać o siebie i swoje potrzeby"," aby zredukować stres.
Dziękuję sobie za wysiłek"," jaki wkładam w redukcję stresu.
Spokój jest moją naturalną stanem bycia.
Jestem silny i zdolny do radzenia sobie z wyzwaniami.
Każdy dzień przynosi mi nowe możliwości zmniejszenia stresu.
Odpuszczam potrzebę kontrolowania wszystkiego w moim życiu.
Każdy oddech przynosi mi spokój i ulgę.
Uczę się czerpać radość z prostych przyjemności życia.
Moje myśli są skupione na teraźniejszości"," co zmniejsza mój stres.
Zasługuję na spokój i radość w swoim życiu.
Potrafię powiedzieć tak sobie i swoim potrzebom.
Uwolnienie stresu to dar"," który daję sobie codziennie.
Każde wyzwanie"," z którym się spotykam"," przyczynia się do mojego rozwoju.
Moje ciało jest zrelaksowane"," a mój umysł jest spokojny.
Jesteśmy jednością z przyrodą"," co przynosi mi spokój i równowagę.
Moje ciało jest miejscem spokoju i komfortu.
Dziękuję sobie za to"," że poświęcam czas na relaksację.
Każdy oddech przynosi mi spokój i odprężenie.
Uwolnienie stresu jest procesem"," który prowadzi do mojego dobrostanu.
Wybieram zdrowe strategie radzenia sobie ze stresem.
Spokój i zrównoważenie są fundamentem mojego codziennego życia.
Moje myśli są pełne pokoju i akceptacji.
Jestem świadomy swoich emocji i pozwalam im swobodnie płynąć.
Każdy oddech przynosi mi spokój i świeżość.
Uwolnienie stresu jest moim priorytetem.
Wybieram spokojne otoczenie"," które sprzyja redukcji stresu.
Moje ciało jest zrelaksowane"," a mój umysł jest spokojny.
Potrafię wyznaczać zdrowe granice"," aby zredukować stres.
Moje myśli są skupione na teraźniejszości"," co zmniejsza mój stres.
Uważnie słucham swojego ciała i daję mu to"," czego potrzebuje.
Każdy dzień przynosi mi nowe możliwości redukcji stresu.
Moje myśli są spokojne i skupione.
Jestem wdzięczny za chwile spokoju i relaksu w moim życiu.
Uwolnienie stresu pozwala mi na pełniejsze doświadczanie radości.
Moje ciało jest odprężone"," a mój umysł jest spokojny.
Każdy oddech przynosi mi spokój i ukojenie.
Wszystko"," czego potrzebuję"," mam już w sobie.
Moje myśli są pełne pokoju i harmonii.
Zasługuję na relaksację i regenerację.
Wybieram spokój i zrównoważenie w każdej sytuacji.
Uwolnienie stresu pozwala mi na większą kreatywność i jasność umysłu.
Jestem otwarty na pozytywne zmiany w moim życiu.
Dbam o swoje potrzeby i szukam równowagi w swoim życiu.
Każdy oddech przynosi mi spokój i radość.
Uwolnienie stresu to proces"," który prowadzi do mojego dobrostanu.
Moje ciało jest zrelaksowane"," a mój umysł jest spokojny.
Dziękuję sobie za to"," że dbam o swoje zdrowie psychiczne.
Każdy dzień jest nową możliwością do zmniejszenia stresu.
Potrafię radzić sobie z trudnościami"," które napotykam.
Wybieram pozytywne myśli"," które zmniejszają mój stres.
Uwolnienie stresu to proces"," w którym się rozwijam.
Jestem spokojny i w pełni obecny w każdej chwili.
Moje myśli są spokojne i skupione na teraźniejszości.
Zasługuję na spokój i radość w swoim życiu.
Każdy oddech przynosi mi spokój i ulgę.
Uwolnienie stresu pozwala mi na pełniejsze doświadczanie życia.
Jestem wdzięczny za chwile relaksu i spokoju.
Moje ciało jest zrelaksowane"," a mój umysł jest spokojny.
Potrafię zidentyfikować źródła stresu i skutecznie sobie z nimi radzić.
Każdy oddech wypełnia mnie spokojem i radością.
Uwolnienie stresu to dar"," który daję sobie każdego dnia.
Jestem w pełni obecny i cieszę się każdą chwilą spokoju.
Wdech. Wydech. Weź 7 głębokich"," wolnych"," głębokich oddechów. Zrelaksuj się.
Wizualizuj. Weź 7 głębokich"," wolnych"," głębokich oddechów. Zrelaksuj się.
Medytuj. 30 sekund jest lepsze niż zero.
Posłuchaj relaksującej muzyki.
Obejrzyj inspirujący film.
Idź na spacer.
Uprawiaj jogę. Możesz to również zrobić na krześle lub łóżku.
Rozciągnij swoje ciało.
Pomasuj dłonie przez co najmniej 30 sekund.
Użyj aromaterapii: olejek: lawendowy"," eukaliptusowy"," pomarańczowy. Znajdź swój ulubiony.
Pomyśl o 5 rzeczach"," za które jesteś dziś wdzięczny.
Pomasuj głowę przez co najmniej 30 sekund.
Przytul siebie mocno"," trzymaj pozycję co najmniej 30 sekund.
Uśmiech. Szeroki uśmiech"," nawet jeśli nie jest prawdziwy"," wytrzymaj 15-30 sekund i przytul siebie.
Stwórz relaksującą listę muzyczną.
Skoncentruj się na swoim oddechu.
Wyjdź na zewnątrz. Połącz się z naturą.
Spójrz w niebo. Poczuj energię.
Stań boso na trawie.
Weź relaksującą kąpiel lub prysznic.
Kup swoją ulubioną świeczkę. Jeśli nie masz ulubionej"," znajdź ją.
Zeskanuj swoje ciało. Zauważ"," gdzie jest napięcie. Wymasuj to miejsce.
Skoncentruj się na jednym punkcie (może to być kropka na ścianie) i myśl tylko o nim przez co najmniej minutę.
Wymasuj twarz"," szyję i dłonie kostką lodu.
Wykonaj masaż żuchwy przez przynajmniej 15 sekund. 
Pij melisę"," herbatę rumiankową.
Pomarańczowy olejek eteryczny wpłynie pozytywnie na Twój nastrój.
Olejek lawendowy lub eukaliptusowy - pomoże Ci się wyciszyć i zrelaksować.
Słońce jest twoim przyjacielem.Minimum 15 minut dziennie poprawi Twój nastrój. Nie zapomnij o SPF.
Spędzaj czas z ludźmi z dobrą energią.
Weź trzy wolne"," głębokie oddechy.
Zamknij oczy i wyobraź sobie ciche i spokojne miejsce.
Rozciągnij ręce i ramiona.
Delikatnie obróć szyję z boku na bok.
Masuj skronie okrężnymi ruchami.
Posłuchaj uspokajającej piosenki instrumentalnej.
Ściśnij piłkę antystresową lub miękki przedmiot w dłoni.
Zrób szybki spacer po pokoju lub biurze.
Zamknij oczy i skup się na odczuwaniu oddechu.
Powtarzaj w myślach pozytywną afirmację lub mantrę.
Użyj kojącego olejku eterycznego lub balsamu zapachowego i weź głęboki oddech"," aby wdychać zapach.
Wykonaj szybki samodzielny masaż dłoni lub stóp.
Wykonaj szybkie ćwiczenie uważności"," obserwując otoczenie i skupiając się na chwili obecnej.
Uwolnij napięcie"," potrząsając kończynami.
Poświęć chwilę"," aby docenić coś pięknego wokół siebie.
Uśmiechnij się i pomyśl o czymś"," co cię uszczęśliwia.
Delikatnie masuj skronie opuszkami palców.
Zamknij oczy i wsłuchaj się w otaczające Cię dźwięki bez oceniania.
Wypij szklankę wody powoli i uważnie.
Poświęć kilka chwil na zapisanie trzech rzeczy"," za które jesteś wdzięczny.
Wykonaj delikatny masaż ramion lub szyi.
Zrób sobie mini przerwę taneczną i ruszaj ciałem w rytm ulubionej piosenki.
Wykonaj szybką medytację wdzięczności"," myśląc o trzech rzeczach"," które doceniasz w swoim życiu.
Zapal świecę zapachową i weź głęboki oddech"," aby rozkoszować się aromatem.
Uwolnij napięcie"," wzruszając ramionami w górę iw dół.
Delikatnie naciśnij opuszkami palców przestrzeń między brwiami.
Zanuć kojącą melodię.
Rozetrzyj kilka kropli olejku lawendowego między dłońmi i wdychaj zapach.
Zamknij oczy i policz wstecz od 60"," skupiając się wyłącznie na oddechu.
Zrób sobie mini masaż dłoni lub stóp z użyciem balsamu lub olejku.
Poświęć chwilę"," aby wstać"," wyciągnij ręce nad głowę i weź głęboki oddech.
Użyj uspokajającej aplikacji lub strony internetowej"," aby słuchać relaksujących dźwięków lub medytacji z przewodnikiem.
Zamknij oczy i skup się na odczuciu stóp dotykających podłoża.
Powtórz na głos pozytywną afirmację lub mantrę.
Wykonaj szybkie skanowanie ciała"," zaczynając od palców u stóp i przesuwając się w górę do czubka głowy.
Delikatnie dotknij opuszkami palców czoła"," policzków i linii szczęki.
Wizualizuj uspokajający kolor lub obraz w swoim umyśle.
Poświęć chwilę"," aby docenić uczucie ciepła lub chłodu na skórze.
Wykonaj szybkie rozciąganie jogi na biurku lub krześle"," takie jak skręt w pozycji siedzącej lub składanie do przodu.
Odlicz wstecz od 10"," skupiając się na uwalnianiu napięcia przy każdym liczeniu.
Poświęć kilka chwil na rozprostowanie nóg i poruszenie palcami stóp.
Połóż dłoń na sercu i weź głęboki oddech"," czując rytmiczne bicie.
Zamknij oczy i wyobraź sobie spokojną plażę lub las.
Wykonaj szybkie ćwiczenie wdzięczności"," wymieniając w myślach trzy rzeczy"," za które jesteś wdzięczny.
Delikatnie masuj skórę głowy opuszkami palców okrężnymi ruchami.
Weź głęboki wdech przez nos"," wstrzymaj oddech na kilka sekund i powoli wydychaj ustami.
Poświęć chwilę"," aby docenić uczucie"," gdy stopy dotykają podłogi.
Trzymaj ciepłą filiżankę herbaty lub kawy i poświęć chwilę na delektowanie się ciepłem.
Wykonaj szybkie ćwiczenie uważności"," skupiając się na odczuwaniu oddechu w nozdrzach.
Poświęć chwilę"," aby po prostu usiąść w bezruchu"," pozwalając swoim myślom przychodzić i odchodzić bez przywiązania.
Wszystko będzie dobrze.
Wykonuj ćwiczenia głębokiego oddychania.
Spróbuj Tai Chi.
Słuchaj uspokajającej muzyki.
Zacznij stosować aromaterapię z olejkami eterycznymi.
Obejrzyj zachód lub wschód słońca.
Ćwicz wdzięczność"," zapisując"," za co jesteś wdzięczny.
Obejrzyj zabawny film lub program telewizyjny.
Posłuchaj nagrania audio relaksacji z przewodnikiem.
Zdrzemnij się lub dobrze prześpij noc.
Obserwuj chmury i obserwuj ich kształty i ruchy.
Spędzaj czas w pobliżu wody"," takiej jak jezioro"," rzeka lub plaża.
Stwórz spokojne i wolne od bałaganu środowisko w domu.
Poćwicz wizualizację"," wyobrażając sobie siebie w spokojnym i pogodnym miejscu.
Wypróbuj różne zapachy aromaterapii"," aby znaleźć to"," co Cię odpręży.
Jestem spokojny i zrelaksowany w każdej sytuacji.
Uwalniam napięcie i stres z ciała i umysłu.
Porzucam wszelkie zmartwienia i ogarniam poczucie wewnętrznego spokoju.
Zasługuję na to"," by czuć się zrelaksowana i odprężona.
Kontroluję swoją reakcję relaksacyjną.
Oddycham głęboko"," pozwalając odprężeniu przepływać przeze mnie.
Uwalniam się od niepokoju i ogarniam stan wyciszenia.
Tworzę w sobie spokojną przestrzeń i noszę ją ze sobą"," gdziekolwiek się udaję.
Poddaję się chwili obecnej i znajduję w niej ukojenie.
Uwalniam potrzebę pośpiechu i pozwalam sobie na relaks.
Jestem godny relaksu i dbania o siebie.
Puszczam myśli"," które już mi nie służą i wprowadzam spokój do umysłu.
Poświęcam czas na odpoczynek i regenerację ciała i umysłu.
Jestem w zgodzie ze sobą i otaczającym mnie światem.
Pozwalam relaksowi obmyć mnie jak delikatna fala.
Jestem obecny tu i teraz"," odpuszczając przeszłe zmartwienia i troski o przyszłość.
Priorytetem jest dbanie o siebie i znajdowanie czasu na relaks w codziennej rutynie.
Uwalniam całe napięcie i czuję"," jak moje mięśnie się rozluźniają.
Otacza mnie kojąca energia"," która sprzyja relaksowi.
Jestem wdzięczna za chwile ciszy i spokoju w moim życiu.
Porzucam oczekiwania i po prostu pozwalam sobie być.
Obejmuję spokojny i spokojny sposób myślenia"," pozbywając się niepotrzebnego stresu.
Dostosowuję się do potrzeb mojego organizmu i zapewniam sobie odpoczynek"," na który zasługuję.
Uwalniam cały mentalny bałagan i stwarzam przestrzeń do relaksu i spokoju.
Czuję się dobrze na ciele"," umyśle i duchu.
Odnajduję radość w prostych przyjemnościach i pozwalam"," by przynosiły mi relaks.
Jestem dla siebie łagodna i pozwalam sobie na relaks.
Uwalniam potrzebę kontroli i poddania się przepływowi relaksu.
Decyduję się porzucić wszystkie źródła stresu i przyjąć spokój.
Otacza mnie wspierające i pokojowe środowisko.
Jestem otwarta na relaks i spokój w moim życiu.
Odrzucam wszelkie zmartwienia i wątpliwości"," ufając"," że wszystko się ułoży.
Jestem w pełni obecny w chwili obecnej"," delektując się pięknem relaksu.
Puszczam wszelkie negatywne myśli i przyjmuję pozytywne i spokojne nastawienie.
Jestem w zgodzie z rytmem życia"," odnajdując spokój w każdym oddechu.
Uwalniam potrzebę bycia ciągle zajętym i pozwalam sobie na chwile wyciszenia.
Jestem magnesem relaksu"," przyciągającym do mojego życia spokojne doświadczenia.
Priorytetem jest dbanie o siebie i tworzenie miejsca na relaks w moim codziennym harmonogramie.
Uwalniam się od ciężaru stresu i przyjmuję lekki i zrelaksowany stan bycia.
Wybieram skupienie się na chwili obecnej i odnajdywanie radości w prostych przyjemnościach życia.
Porzucam perfekcjonizm i akceptuję piękno niedoskonałości.
Jestem w zgodzie ze sobą i wyborami"," których dokonuję.
Uwalniam wszelkie zmartwienia i ufam naturalnemu biegowi życia.
Zasługuję na relaks i pozwalam sobie w pełni cieszyć się chwilami spokoju.
Uwalniam wszelkie oczekiwania i znajduję ukojenie w chwili obecnej.
Otacza mnie kochająca i wspierająca sieć"," która zachęca do relaksu.
Dostosowuję się do potrzeb mojego ciała i szanuję je poprzez relaks i troskę o siebie.
Odpuszczam potrzebę zadowalania innych i skupiam się na własnym samopoczuciu.
Panuję nad poziomem stresu i jako stan domyślny wybieram relaks.
Jestem wdzięczny za dar relaksu i pielęgnuję go we wszystkich aspektach mojego życia.
Wierzę"," że znów poczuję się sobą.
Dzień po dniu"," krok po kroku.
W porządku jest nie być w porządku. Pozwalam sobie czuć wszystko"," czego potrzebuję.
Mój niepokój istnieje tylko w mojej głowie"," moja rzeczywistość jest o wiele bardziej pozytywna.
Wybaczam sobie błędy"," które popełniłem"," kiedy nie wiedziałem lepiej.
Skupiam się na tym"," jak szczęśliwy jestem"," zamiast na tym"," co mi nie wyszło.
Każdy miewa ciężkie dni. Jutro będzie lepiej.